"Timestamp","Studio Art (x1) - Demand (kW)","PV Inverter (x0) - Demand (kW)","Chiller (x0) - Demand (kW)","MDB - AHU (x0) - Demand (kW)","LDB (x0) - Demand (kW)","H1 (x0) - Demand (kW)","LDB (x0) - Temperature (F)","Chiller (x0) - Temperature (F)","H1 (x0) - Temperature (F)","MDB - AHU (x0) - Temperature (F)","PV Inverter (x0) - Temperature (F)","Studio Art (x1) - Temperature (F)"
"2017-04-01 12:53:00",,,,,,,74,74,74,74,74,74
"2017-04-01 13:53:00",,,,,,,78,78,78,78,78,78
"2017-04-01 14:53:00",,,,,,,78,78,78,78,78,78
"2017-04-01 15:53:00",,,,,,,77,77,77,77,77,77
"2017-04-01 16:53:00",,,,,,,77,77,77,77,77,77
"2017-04-01 17:53:00",,,,,,,73,73,73,73,73,73
"2017-04-01 18:53:00",,,,,,,70,70,70,70,70,70
"2017-04-01 19:53:00",,,,,,,65,65,65,65,65,65
"2017-04-01 20:53:00",,,,,,,61,61,61,61,61,61
"2017-04-01 21:53:00",,,,,,,61,61,61,61,61,61
"2017-04-01 22:53:00",,,,,,,58,58,58,58,58,58
"2017-04-01 23:53:00",,,,,,,58,58,58,58,58,58
"2017-04-02 00:53:00",,,,,,,58,58,58,58,58,58
"2017-04-02 01:53:00",,,,,,,58,58,58,58,58,58
"2017-04-02 02:53:00",,,,,,,55,55,55,55,55,55
"2017-04-02 03:53:00",,,,,,,52,52,52,52,52,52
"2017-04-02 04:53:00",,,,,,,53,53,53,53,53,53
"2017-04-02 05:53:00",,,,,,,51,51,51,51,51,51
"2017-04-02 06:53:00",,,,,,,52,52,52,52,52,52
"2017-04-02 07:53:00",,,,,,,57,57,57,57,57,57
"2017-04-02 08:53:00",,,,,,,61,61,61,61,61,61
"2017-04-02 09:53:00",,,,,,,65,65,65,65,65,65
"2017-04-02 10:53:00",,,,,,,70,70,70,70,70,70
"2017-04-02 11:53:00",,,,,,,73,73,73,73,73,73
"2017-04-02 12:53:00",,,,,,,77,77,77,77,77,77
"2017-04-02 13:53:00",,,,,,,78,78,78,78,78,78
"2017-04-02 14:53:00",,,,,,,80,80,80,80,80,80
"2017-04-02 15:53:00",,,,,,,78,78,78,78,78,78
"2017-04-02 16:53:00",,,,,,,77,77,77,77,77,77
"2017-04-02 17:53:00",,,,,,,73,73,73,73,73,73
"2017-04-02 18:53:00",,,,,,,69,69,69,69,69,69
"2017-04-02 19:53:00",,,,,,,65,65,65,65,65,65
"2017-04-02 20:53:00",,,,,,,61,61,61,61,61,61
"2017-04-02 21:53:00",,,,,,,60,60,60,60,60,60
"2017-04-02 22:53:00",,,,,,,60,60,60,60,60,60
"2017-04-02 23:53:00",,,,,,,57,57,57,57,57,57
"2017-04-03 00:53:00",,,,,,,55,55,55,55,55,55
"2017-04-03 01:53:00",,,,,,,53,53,53,53,53,53
"2017-04-03 02:53:00",,,,,,,51,51,51,51,51,51
"2017-04-03 03:53:00",,,,,,,50,50,50,50,50,50
"2017-04-03 04:53:00",,,,,,,50,50,50,50,50,50
"2017-04-03 05:53:00",,,,,,,50,50,50,50,50,50
"2017-04-03 06:53:00",,,,,,,50,50,50,50,50,50
"2017-04-03 07:53:00",,,,,,,52,52,52,52,52,52
"2017-04-03 08:53:00",,,,,,,53,53,53,53,53,53
"2017-04-03 09:53:00",,,,,,,56,56,56,56,56,56
"2017-04-03 10:53:00",,,,,,,60,60,60,60,60,60
"2017-04-03 11:53:00",,,,,,,64,64,64,64,64,64
"2017-04-03 12:53:00",,,,,,,67,67,67,67,67,67
"2017-04-03 13:53:00",,,,,,,69,69,69,69,69,69
"2017-04-03 14:53:00",,,,,,,70,70,70,70,70,70
"2017-04-03 15:53:00",,,,,,,70,70,70,70,70,70
"2017-04-03 16:53:00",,,,,,,68,68,68,68,68,68
"2017-04-03 17:53:00",,,,,,,65,65,65,65,65,65
"2017-04-03 18:53:00",,,,,,,61,61,61,61,61,61
"2017-04-03 19:53:00",,,,,,,58,58,58,58,58,58
"2017-04-03 20:53:00",,,,,,,56,56,56,56,56,56
"2017-04-03 21:53:00",,,,,,,55,55,55,55,55,55
"2017-04-03 22:53:00",,,,,,,54,54,54,54,54,54
"2017-04-03 23:53:00",,,,,,,53,53,53,53,53,53
"2017-04-04 00:53:00",,,,,,,54,54,54,54,54,54
"2017-04-04 01:53:00",,,,,,,54,54,54,54,54,54
"2017-04-04 02:53:00",,,,,,,55,55,55,55,55,55
"2017-04-04 03:53:00",,,,,,,56,56,56,56,56,56
"2017-04-04 04:53:00",,,,,,,56,56,56,56,56,56
"2017-04-04 05:53:00",,,,,,,56,56,56,56,56,56
"2017-04-04 06:53:00",,,,,,,54,54,54,54,54,54
"2017-04-04 07:53:00",,,,,,,56,56,56,56,56,56
"2017-04-04 08:53:00",,,,,,,58,58,58,58,58,58
"2017-04-04 09:53:00",,,,,,,62,62,62,62,62,62
"2017-04-04 10:53:00",,,,,,,66,66,66,66,66,66
"2017-04-04 11:53:00",,,,,,,72,72,72,72,72,72
"2017-04-04 12:53:00",,,,,,,76,76,76,76,76,76
"2017-04-04 13:53:00",,,,,,,80,80,80,80,80,80
"2017-04-04 14:53:00",,,,,,,82,82,82,82,82,82
